Secretaria Unificada das Promotorias de  Piripiri
Secretaria Unificada das Promotorias de Barras
Secretaria Unificada das Promotorias de Bom Jesus
Secretaria Unificada das Promotorias de Campo Maior
Secretaria Unificada das Promotorias de Corrente
Secretaria Unificada das Promotorias de Floriano
Secretaria Unificada das Promotorias de Justiça da Infância e da Juventude de Teresina
Secretaria Unificada das Promotorias de Justiça de São Raimundo Nonato
Secretaria Unificada das Promotorias de Oeiras
Secretaria Unificada das Promotorias de Parnaiba
Secretaria Unificada das Promotorias de Pedro II
Secretaria Unificada das Promotorias de Picos
Secretaria Unificada Regional de Campo Maior
Secretaria-Geral do Gabinete da PGJ
Sede da Casa da Cidadania
Sede da Promotoria de Justiça de Água Branca
Sede da Promotoria de Justiça de Amarante
Sede da Promotoria de Justiça de Barro Duro
Sede da Promotoria de Justiça de Batalha
Sede da Promotoria de Justiça de Buriti Dos Lopes
Sede da Promotoria de Justiça de Luís Correia
Sede da Promotoria de Justiça de Luzilândia
Sede da Promotoria de Justiça de Marcos Parente
Sede da Promotoria de Justiça de Regeneração
Sede das Promotorias de Justiça de Altos
Sede das Promotorias de Justiça de Barras
Sede das Promotorias de Justiça de Bom Jesus
Sede das Promotorias de Justiça de Campo Maior
Sede das Promotorias de Justiça de Campo Maior
Sede das Promotorias de Justiça de Corrente
Sede das Promotorias de Justiça de Esperantina
Sede das Promotorias de Justiça de Floriano
Sede das Promotorias de Justiça de José de Freitas
Sede das Promotorias de Justiça de Oeiras
Sede das Promotorias de Justiça de Parnaíba
Sede das Promotorias de Justiça de Paulistana
Sede das Promotorias de Justiça de Pedro II
Sede das Promotorias de Justiça de Picos
Sede das Promotorias de Justiça de Piripiri
Sede das Promotorias de Justiça de São Raimundo Nonato
Sede das Promotorias de Justiça de União
Sede das Promotorias de Justiça de Uruçuí
Sede das Promotorias de Justiça de Valença
Sede dos Grupos de Atuação
Sede MPPI Leste
Subprocuradoria de Justiça Administrativa
Subprocuradoria de Justiça Institucional
Subprocuradoria de Justiça Jurídica
